Trabalho;Menciona coesão ou funcionar como undidade;Menciona o nível lógico ou semântico;Menciona a função comunicativa;Menciona situacionalidade ou situação/contexto de uso;Menciona aceitabilidade ou foco no leitor/recebedor;Menciona a modalidade escrita;Menciona a modalidade oral;Menciona intencionalidade ou foco no produtor;Menciona unidade formal ou estrutural;Menciona coerência;Menciona o nível discursivo;Menciona o nível lexical;Menciona a irrelevância do tamanho;Menciona caráter linear ou sequencial;Menciona informatividade;Menciona intertextualidade;Menciona o nível sintático;Menciona distinção de conjunto aleatório de frases;Menciona o nível fonológico ou prosódico;Menciona estilística;Menciona importância da repetição ou similaridade;Menciona linguagem não-verbal
(Okurowski, 1989);1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0
"(Bayat; Yurdakul, 2014)";0;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"(Roman; Roman, 2014)";1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0
(Khalil, 1989);1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
(Dilidüzgün, 2013);1;1;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
"(Yang; Sun, 2012)";1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"(Perrin; Petry, 2003)";0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"(Perrin; Petry, 1999)";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
(Cornish, 2009);1;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1
"(Blom; Hansen, 2015)";1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
(Cheung, 2010);1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
(Haberland, 1999);0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Geist, 1987);0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"(Kaplan; Grabe, 2002)";1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
(Rottensteiner, 2010);1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0
(Fang, 1997);0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Alexander, 2019);0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Luke, 1989);1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"(Mee; Seng, 2014)";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Gowhary et al., 2015);0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
(Brooks, 1997);0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0
(Bache, 2010);0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"(Kitis; Milapides, 1997)";1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
(Fowler, 1979);0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
(Makino, 1982);0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"(Ouden; Noordman; Terken, 2009)";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
(Beaugrande, 1983);0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Beaugrande, 1980);0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"(Golden; Pappas, 1990)";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Beaugrande, 1979);0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
(Sándor, 1989);0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"(Purser; Dreyfus; Jones, 2020)";0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"(Huang; Mohan, 2009)";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Pavel, 1973);1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"(Oliveira; Senna; Pereira, 2024)";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
"(Stanisz; Drożdż; Kwapień, 2024)";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"(Kovalchuk; Popivniak, 2021)";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Dalalyan, 2015);1;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;1;1;0;0
(Collet, 2004);1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(Ocak; Baysal, 2016)";1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
(Ali, 2021);1;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
(Lyons, 2021);1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0
(Marashi, 2020);1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
(Amaral, 1985);1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(Felisbino, 2001);1;1;1;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;0
(Carrell, 1982);1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"(Campuzano; Paucar, 2022)";1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0
(Albarrán-Santiago, 2015);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
